TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 22:49:00 GMT+0300 (GMT+03:00),322477.9666052872
Sun May 25 2025 22:50:00 GMT+0300 (GMT+03:00),321911.7839158275
Sun May 25 2025 22:51:00 GMT+0300 (GMT+03:00),321791.2919475901
Sun May 25 2025 22:52:00 GMT+0300 (GMT+03:00),323383.14092312806
Sun May 25 2025 22:53:00 GMT+0300 (GMT+03:00),323457.9506994942
Sun May 25 2025 22:54:00 GMT+0300 (GMT+03:00),323113.8964376513
Sun May 25 2025 22:55:00 GMT+0300 (GMT+03:00),322487.8132607561
Sun May 25 2025 22:56:00 GMT+0300 (GMT+03:00),322182.5669412213
Sun May 25 2025 22:57:00 GMT+0300 (GMT+03:00),323357.70877422666
Sun May 25 2025 22:58:00 GMT+0300 (GMT+03:00),323457.3128304917
Sun May 25 2025 22:59:00 GMT+0300 (GMT+03:00),322970.2993787304
Sun May 25 2025 23:00:00 GMT+0300 (GMT+03:00),322749.5984802903
Sun May 25 2025 23:01:00 GMT+0300 (GMT+03:00),322205.6123050846
Sun May 25 2025 23:02:00 GMT+0300 (GMT+03:00),323043.7818822294
Sun May 25 2025 23:03:00 GMT+0300 (GMT+03:00),323456.8626274848
Sun May 25 2025 23:04:00 GMT+0300 (GMT+03:00),323274.38726821
Sun May 25 2025 23:05:00 GMT+0300 (GMT+03:00),323071.66200855694
Sun May 25 2025 23:06:00 GMT+0300 (GMT+03:00),323120.1397880392
Sun May 25 2025 23:07:00 GMT+0300 (GMT+03:00),322858.4055665842
Sun May 25 2025 23:08:00 GMT+0300 (GMT+03:00),323455.50378190173
