TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.service_name:ollama-gemma
service_name,ollama-gemma
project_id,llm-workload-characterization
Fri May 23 2025 17:04:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:05:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:06:00 GMT+0300 (GMT+03:00),323362.25362554926
Fri May 23 2025 17:07:00 GMT+0300 (GMT+03:00),320693.2603015556
Fri May 23 2025 17:08:00 GMT+0300 (GMT+03:00),323273.27339315694
Fri May 23 2025 17:09:00 GMT+0300 (GMT+03:00),323460.10736872
Fri May 23 2025 17:10:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:11:00 GMT+0300 (GMT+03:00),323454.9793111356
Fri May 23 2025 17:12:00 GMT+0300 (GMT+03:00),322767.5741190773
Fri May 23 2025 17:13:00 GMT+0300 (GMT+03:00),322930.9127568549
Fri May 23 2025 17:14:00 GMT+0300 (GMT+03:00),323459.84536288993
Fri May 23 2025 17:15:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:16:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:17:00 GMT+0300 (GMT+03:00),323224.40661663655
Fri May 23 2025 17:18:00 GMT+0300 (GMT+03:00),322576.43315997586
Fri May 23 2025 17:19:00 GMT+0300 (GMT+03:00),323452.44595686096
Fri May 23 2025 17:20:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:21:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:22:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:23:00 GMT+0300 (GMT+03:00),323235.4016413536
Fri May 23 2025 17:24:00 GMT+0300 (GMT+03:00),323449.5226996263
Fri May 23 2025 17:25:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:26:00 GMT+0300 (GMT+03:00),323459.4282512618
Fri May 23 2025 17:27:00 GMT+0300 (GMT+03:00),323435.2803314267
Fri May 23 2025 17:28:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 17:33:00 GMT+0300 (GMT+03:00),38828.86547829857
Fri May 23 2025 17:34:00 GMT+0300 (GMT+03:00),99064.91692960216
Fri May 23 2025 17:35:00 GMT+0300 (GMT+03:00),153102.6030954267
Fri May 23 2025 17:36:00 GMT+0300 (GMT+03:00),217146.2935939742
Fri May 23 2025 17:37:00 GMT+0300 (GMT+03:00),282643.7694812475
Fri May 23 2025 17:38:00 GMT+0300 (GMT+03:00),323453.01349451585
Fri May 23 2025 17:39:00 GMT+0300 (GMT+03:00),322908.75778205
Fri May 23 2025 17:40:00 GMT+0300 (GMT+03:00),322302.1334719146
Fri May 23 2025 17:41:00 GMT+0300 (GMT+03:00),321542.53433574515
Fri May 23 2025 17:42:00 GMT+0300 (GMT+03:00),320016.30273807124
Fri May 23 2025 17:43:00 GMT+0300 (GMT+03:00),323450.96140161785
Fri May 23 2025 17:44:00 GMT+0300 (GMT+03:00),323430.6394087729
Fri May 23 2025 17:45:00 GMT+0300 (GMT+03:00),322477.9666052872
Fri May 23 2025 17:46:00 GMT+0300 (GMT+03:00),322724.1329920088
Fri May 23 2025 17:47:00 GMT+0300 (GMT+03:00),322231.8002185656
Fri May 23 2025 17:48:00 GMT+0300 (GMT+03:00),323449.4837991736
Fri May 23 2025 17:49:00 GMT+0300 (GMT+03:00),323440.5874011239
Fri May 23 2025 17:50:00 GMT+0300 (GMT+03:00),322871.8328240418
Fri May 23 2025 17:51:00 GMT+0300 (GMT+03:00),322854.4563732144
Fri May 23 2025 17:52:00 GMT+0300 (GMT+03:00),322477.9666052872
Fri May 23 2025 17:53:00 GMT+0300 (GMT+03:00),323447.6481112427
Fri May 23 2025 17:54:00 GMT+0300 (GMT+03:00),323458.56888306676
Fri May 23 2025 17:55:00 GMT+0300 (GMT+03:00),322680.6918649403
Fri May 23 2025 17:56:00 GMT+0300 (GMT+03:00),322996.21162996424
Fri May 23 2025 17:57:00 GMT+0300 (GMT+03:00),322407.63335193816
Fri May 23 2025 17:58:00 GMT+0300 (GMT+03:00),323410.890172799
Fri May 23 2025 17:59:00 GMT+0300 (GMT+03:00),323459.9319724289
Fri May 23 2025 18:00:00 GMT+0300 (GMT+03:00),322871.8328240418
Fri May 23 2025 18:01:00 GMT+0300 (GMT+03:00),323181.2991387775
Fri May 23 2025 18:02:00 GMT+0300 (GMT+03:00),322806.18845424935
Fri May 23 2025 18:03:00 GMT+0300 (GMT+03:00),322970.29937873036
Fri May 23 2025 18:04:00 GMT+0300 (GMT+03:00),323460.47752296814
Fri May 23 2025 18:05:00 GMT+0300 (GMT+03:00),323420.4322001642
Fri May 23 2025 18:06:00 GMT+0300 (GMT+03:00),322945.6827400582
Fri May 23 2025 18:07:00 GMT+0300 (GMT+03:00),322724.1329920088
Fri May 23 2025 18:08:00 GMT+0300 (GMT+03:00),323278.00736213237
Fri May 23 2025 18:13:00 GMT+0300 (GMT+03:00),35628.86551959426
Fri May 23 2025 18:14:00 GMT+0300 (GMT+03:00),94594.05369524957
Fri May 23 2025 18:15:00 GMT+0300 (GMT+03:00),145729.97549362166
Fri May 23 2025 18:16:00 GMT+0300 (GMT+03:00),211850.04253070653
Fri May 23 2025 18:17:00 GMT+0300 (GMT+03:00),264708.7898772457
Fri May 23 2025 18:18:00 GMT+0300 (GMT+03:00),323402.2094936146
Fri May 23 2025 18:19:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:20:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:21:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:22:00 GMT+0300 (GMT+03:00),322998.43268007
Fri May 23 2025 18:23:00 GMT+0300 (GMT+03:00),323397.4704615708
Fri May 23 2025 18:24:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:25:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:26:00 GMT+0300 (GMT+03:00),323460.1867907161
Fri May 23 2025 18:27:00 GMT+0300 (GMT+03:00),323401.0905554932
Fri May 23 2025 18:28:00 GMT+0300 (GMT+03:00),323332.308770968
Fri May 23 2025 18:29:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:30:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:31:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:32:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:33:00 GMT+0300 (GMT+03:00),323198.8824521147
Fri May 23 2025 18:34:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:35:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:36:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:37:00 GMT+0300 (GMT+03:00),323456.8850769972
Fri May 23 2025 18:38:00 GMT+0300 (GMT+03:00),323121.78638594365
Fri May 23 2025 18:39:00 GMT+0300 (GMT+03:00),323451.44277095894
Fri May 23 2025 18:40:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:41:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:42:00 GMT+0300 (GMT+03:00),323458.8352413244
Fri May 23 2025 18:43:00 GMT+0300 (GMT+03:00),323328.35957759817
Fri May 23 2025 18:44:00 GMT+0300 (GMT+03:00),323452.8182098458
Fri May 23 2025 18:45:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:46:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:47:00 GMT+0300 (GMT+03:00),323459.65433297935
Fri May 23 2025 18:48:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 18:53:00 GMT+0300 (GMT+03:00),24222.332537473296
