timestamp,Max_concurrent_requests_p50
Sun May 25 2025 22:28:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 22:29:00 GMT+0300 (GMT+03:00),292.5
Sun May 25 2025 22:30:00 GMT+0300 (GMT+03:00),297.5
Sun May 25 2025 22:31:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 22:32:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:33:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:34:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 22:35:00 GMT+0300 (GMT+03:00),296.25
Sun May 25 2025 22:36:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 22:37:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 22:38:00 GMT+0300 (GMT+03:00),292.5
Sun May 25 2025 22:39:00 GMT+0300 (GMT+03:00),292.5
Sun May 25 2025 22:40:00 GMT+0300 (GMT+03:00),305.8333333333333
Sun May 25 2025 22:41:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 22:42:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:43:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:44:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 22:45:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:46:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 22:47:00 GMT+0300 (GMT+03:00),311.25
Sun May 25 2025 22:48:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 22:49:00 GMT+0300 (GMT+03:00),301.25
Sun May 25 2025 22:50:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:51:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:52:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 22:53:00 GMT+0300 (GMT+03:00),297.5
Sun May 25 2025 22:54:00 GMT+0300 (GMT+03:00),272.5
Sun May 25 2025 22:55:00 GMT+0300 (GMT+03:00),143.75
Sun May 25 2025 22:56:00 GMT+0300 (GMT+03:00),27.0
Sun May 25 2025 22:57:00 GMT+0300 (GMT+03:00),8.5
Sun May 25 2025 22:58:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 22:59:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:00:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:01:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:02:00 GMT+0300 (GMT+03:00),252.5
Sun May 25 2025 23:03:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 23:04:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 23:05:00 GMT+0300 (GMT+03:00),290.0
Sun May 25 2025 23:06:00 GMT+0300 (GMT+03:00),290.0
Sun May 25 2025 23:07:00 GMT+0300 (GMT+03:00),311.25
Sun May 25 2025 23:08:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 23:09:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:10:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:11:00 GMT+0300 (GMT+03:00),297.5
Sun May 25 2025 23:12:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:13:00 GMT+0300 (GMT+03:00),312.5
Sun May 25 2025 23:14:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 23:15:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 23:16:00 GMT+0300 (GMT+03:00),300.0
Sun May 25 2025 23:17:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 23:18:00 GMT+0300 (GMT+03:00),296.25
Sun May 25 2025 23:19:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 23:20:00 GMT+0300 (GMT+03:00),298.75
Sun May 25 2025 23:21:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:22:00 GMT+0300 (GMT+03:00),303.75
Sun May 25 2025 23:23:00 GMT+0300 (GMT+03:00),307.5
Sun May 25 2025 23:24:00 GMT+0300 (GMT+03:00),297.5
Sun May 25 2025 23:25:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:26:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:27:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:28:00 GMT+0300 (GMT+03:00),302.5
Sun May 25 2025 23:29:00 GMT+0300 (GMT+03:00),292.5
Sun May 25 2025 23:30:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 23:31:00 GMT+0300 (GMT+03:00),296.25
Sun May 25 2025 23:32:00 GMT+0300 (GMT+03:00),293.75
Sun May 25 2025 23:33:00 GMT+0300 (GMT+03:00),292.5
Sun May 25 2025 23:34:00 GMT+0300 (GMT+03:00),67.5
Sun May 25 2025 23:35:00 GMT+0300 (GMT+03:00),30.5
Sun May 25 2025 23:36:00 GMT+0300 (GMT+03:00),17.0
Sun May 25 2025 23:37:00 GMT+0300 (GMT+03:00),5.5
Sun May 25 2025 23:38:00 GMT+0300 (GMT+03:00),0.8333333333333334
Sun May 25 2025 23:39:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:40:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:41:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 23:42:00 GMT+0300 (GMT+03:00),29.0
Sun May 25 2025 23:43:00 GMT+0300 (GMT+03:00),137.5
Sun May 25 2025 23:44:00 GMT+0300 (GMT+03:00),242.5
Sun May 25 2025 23:45:00 GMT+0300 (GMT+03:00),362.5
Sun May 25 2025 23:46:00 GMT+0300 (GMT+03:00),407.5
Sun May 25 2025 23:47:00 GMT+0300 (GMT+03:00),407.5
Sun May 25 2025 23:48:00 GMT+0300 (GMT+03:00),407.5
Sun May 25 2025 23:49:00 GMT+0300 (GMT+03:00),402.5
Sun May 25 2025 23:50:00 GMT+0300 (GMT+03:00),390.0
Sun May 25 2025 23:51:00 GMT+0300 (GMT+03:00),397.5
Sun May 25 2025 23:52:00 GMT+0300 (GMT+03:00),392.5
Sun May 25 2025 23:53:00 GMT+0300 (GMT+03:00),388.75
Sun May 25 2025 23:54:00 GMT+0300 (GMT+03:00),397.5
Sun May 25 2025 23:55:00 GMT+0300 (GMT+03:00),396.25
Sun May 25 2025 23:56:00 GMT+0300 (GMT+03:00),402.5
Sun May 25 2025 23:57:00 GMT+0300 (GMT+03:00),402.5
Sun May 25 2025 23:58:00 GMT+0300 (GMT+03:00),390.0
Sun May 25 2025 23:59:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:00:00 GMT+0300 (GMT+03:00),392.5
